word,freq
nsa spying,42
bank scotland,15
stephen hawking,19
bluefin tuna,22
gas pipeline,17
documents reveal,35
personal information,17
co founder,16
two russian,14
richard branson,12
diplomatic cables,12
vice president,34
birth control,25
leader says,14
man jailed,15
space station,39
chief says,20
says country,13
egypt israel,11
costa rica,27
law enforcement,24
anti gay,51
russia says,37
15 year,34
40 year,12
coal fired,11
17 year,17
according report,19
north sea,11
european union,131
de janeiro,18
south sudan,40
foreign secretary,12
new laws,11
aung san,20
swiss bank,17
south korea,231
hiv aids,14
honor killing,14
war logs,16
genetically modified,26
turkish prime,23
dilma rousseff,16
body parts,22
never seen,17
13 years,11
canadian soldiers,12
world health,40
north south,16
per hour,12
beaten death,20
new sanctions,13
free trade,21
british police,29
scientists find,14
went missing,11
military action,33
former president,34
syria conflict,11
yahoo news,12
korea fires,19
strike killed,11
russian president,49
korean war,12
western governments,11
take place,12
pre emptive,12
hacked death,13
australian government,55
000 tons,14
coast guard,13
much worse,12
muslim men,11
drug cartels,43
birth defects,14
ukraine president,11
anti terror,41
turkish president,20
one day,34
bomb explodes,15
terror attacks,31
2022 world,20
goldman sachs,41
experts say,35
francis says,12
student protests,16
suicide bombings,15
next week,29
prize winner,15
isis fighters,15
take streets,24
high profile,22
legal battle,13
sex workers,21
previously thought,26
bank england,15
president says,29
rights chief,12
mentally ill,15
orthodox jews,14
600 000,14
power station,15
twitter account,12
prime minister,504
anti islamic,11
mental health,17
year low,19
red sea,12
police state,14
israeli soldier,20
north africa,12
shot killed,16
satellite images,16
agency says,16
fukushima daiichi,18
says north,12
mobile phones,18
cables reveal,14
personal use,12
israel new,12
plead guilty,12
fishing boats,11
justice system,12
one man,20
000 people,122
face charges,14
afghanistan war,13
air strikes,49
passes law,22
thousands flee,12
korea threatens,24
us military,59
israeli spy,16
nearly half,22
nsa gchq,19
sentenced life,12
year jail,18
news north,14
un calls,14
video police,11
foreign journalists,13
health organization,29
would allow,19
leader muammar,12
donald trump,25
french president,48
new guinea,24
carbon emissions,21
israel says,14
aircraft carrier,21
brazilian president,11
may face,17
rights watch,61
